"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
,,"HYUNDAI SOLATI EURO 5 16 CHỖ",,,,,,,,310000000,,,,,1747125659,"carpla.vn","https://carpla.vn/hyundai-solati-euro-5-16-cho"
,,"FORD ECOSPORT 2021 - 14,000KM",,,,,,,,470000000,,,,,1778058096,"carpla.vn","https://carpla.vn/ford-ecosport-2021---14000km"
,,"GEELY COOLRAY PREMIUM MÀU BẠC 2025",,,,,,,,578000000,,,,,1747206278,"carpla.vn","https://carpla.vn/geely-coolray-premium-mau-bac-2025"
,,"TOYOTA VELOZ CROSS 2022 - 90,000KM",,,,,,,,565000000,,,,,1772088788,"carpla.vn","https://carpla.vn/toyota-veloz-cross-2022---90000km"
,,"LYNK & CO 01 LOUDER",,,,,,,,999000000,,,,,1747127846,"carpla.vn","https://carpla.vn/lynk-co-01-louder"
,,"HYUNDAI MIGHTY W750 EURO 5",,,,,,,,220000000,,,,,1747127955,"carpla.vn","https://carpla.vn/hyundai-mighty-w750-euro-5"
,,"FORD RANGER WILDTRAK 2022 - 65.000KM",,,,,,,,815000000,,,,,1741146311,"carpla.vn","https://carpla.vn/ford-ranger-wildtrak-2022---65000km"
,,"HYUNDAI STARGAZER X 2025",,,,,,,,559000000,,,,,1747189657,"carpla.vn","https://carpla.vn/hyundai-stargazer-x-2025"
,,"FORD EVEREST 2021 - 41,000KM",,,,,,,,439000000,,,,,1777364934,"carpla.vn","https://carpla.vn/ford-everest-2021---41000km"
,,"NEW HYUNDAI CRETA 2025 ĐỦ MÀU",,,,,,,,595000000,,,,,1749460182,"carpla.vn","https://carpla.vn/new-hyundai-creta-2025-du-mau"
,,"LYNK & CO 09 HALO",,,,,,,,2199000000,,,,,1747131706,"carpla.vn","https://carpla.vn/lynk-co-09-halo"
,,"TOYOTA FORTUNER 2019 - 198,000KM",,,,,,,,768000000,,,,,1772088893,"carpla.vn","https://carpla.vn/toyota-fortuner-2019---198000km"
,,"HYUNDAI MIGHTY N250 EURO 5",,,,,,,,160000000,,,,,1747187115,"carpla.vn","https://carpla.vn/hyundai-mighty-n250-euro-5"
,,"LYNK & CO 08 2025",,,,,,,,1299000000,,,,,1764032246,"carpla.vn","https://carpla.vn/lynk-co-08-2025"
,,"MITSUBISHI ATTRAGE 2022 - 84.000KM",,,,,,,,240000000,,,,,1761016298,"carpla.vn","https://carpla.vn/mitsubishi-attrage-2022---84000km"
